id	section	part	set_id	number	correct_answer	accepted_answers	max_points
ADV5_T2_P3_Q23	UOE	3	ADV5_T2_P3	23	INCONVENIENCE	INCONVENIENCE	1
ADV5_T2_P3_Q24	UOE	3	ADV5_T2_P3	24	EXPANSION	EXPANSION	1
ADV5_T2_P4_Q25	UOE	4	ADV5_T2_P4	25	HAVE A VERY HIGH OPINION OF	HAVE A VERY HIGH OPINION OF | HAVE A HIGH OPINION OF | HAVE A GOOD OPINION OF | HAVE A POSITIVE OPINION OF	2
ADV5_T2_P4_Q26	UOE	4	ADV5_T2_P4	26	MORE EFFORT INTO THIS ESSAY THAN	MORE EFFORT INTO THIS ESSAY THAN | GREATER EFFORT INTO THIS ESSAY THAN	2
ADV5_T2_P4_Q27	UOE	4	ADV5_T2_P4	27	TO AVOID GIVING BAD NEWS IN	TO AVOID GIVING BAD NEWS IN	2
ADV5_T2_P4_Q28	UOE	4	ADV5_T2_P4	28	KEEP HIS TEMPER UNDER	KEEP HIS TEMPER UNDER	2
ADV5_T2_P4_Q29	UOE	4	ADV5_T2_P4	29	KNOW THAT SHE WAS OPEN TO	KNOW THAT SHE WAS OPEN TO | KNOW SHE WAS OPEN TO	2
ADV5_T2_P4_Q30	UOE	4	ADV5_T2_P4	30	FAR THE MOST EXPENSIVE OF	FAR THE MOST EXPENSIVE OF	2
ADV5_T2_P5_Q31	READING	5	ADV5_T2_P5	31	B	B	2
ADV5_T2_P5_Q32	READING	5	ADV5_T2_P5	32	D	D	2
ADV5_T2_P5_Q33	READING	5	ADV5_T2_P5	33	A	A	2
ADV5_T2_P5_Q34	READING	5	ADV5_T2_P5	34	C	C	2
ADV5_T2_P5_Q35	READING	5	ADV5_T2_P5	35	B	B	2
ADV5_T2_P5_Q36	READING	5	ADV5_T2_P5	36	A	A	2
ADV5_T2_P6_Q37	READING	6	ADV5_T2_P6	37	C	C	2
ADV5_T2_P6_Q38	READING	6	ADV5_T2_P6	38	A	A	2
ADV5_T2_P6_Q39	READING	6	ADV5_T2_P6	39	D	D	2
ADV5_T2_P6_Q40	READING	6	ADV5_T2_P6	40	B	B	2
ADV5_T2_P7_Q41	READING	7	ADV5_T2_P7	41	D	D	2
ADV5_T2_P7_Q42	READING	7	ADV5_T2_P7	42	F	F	2
ADV5_T2_P7_Q43	READING	7	ADV5_T2_P7	43	G	G	2
ADV5_T2_P7_Q44	READING	7	ADV5_T2_P7	44	B	B	2
ADV5_T2_P7_Q45	READING	7	ADV5_T2_P7	45	A	A	2
ADV5_T2_P7_Q46	READING	7	ADV5_T2_P7	46	E	E	2
ADV5_T2_P8_Q47	READING	8	ADV5_T2_P8	47	C	C	1
ADV5_T2_P8_Q48	READING	8	ADV5_T2_P8	48	B	B	1
ADV5_T2_P8_Q49	READING	8	ADV5_T2_P8	49	D	D	1
ADV5_T2_P8_Q50	READING	8	ADV5_T2_P8	50	A	A	1
ADV5_T2_P8_Q51	READING	8	ADV5_T2_P8	51	D	D	1
ADV5_T2_P8_Q52	READING	8	ADV5_T2_P8	52	A	A	1
ADV5_T2_P8_Q53	READING	8	ADV5_T2_P8	53	D	D	1
ADV5_T2_P8_Q54	READING	8	ADV5_T2_P8	54	B	B	1
ADV5_T2_P8_Q55	READING	8	ADV5_T2_P8	55	D	D	1
ADV5_T2_P8_Q56	READING	8	ADV5_T2_P8	56	C	C	1
ADV5_T3_P1_Q01	UOE	1	ADV5_T3_P1	1	B	B	1
ADV5_T3_P1_Q02	UOE	1	ADV5_T3_P1	2	A	A	1
ADV5_T3_P1_Q03	UOE	1	ADV5_T3_P1	3	B	B	1
ADV5_T3_P1_Q04	UOE	1	ADV5_T3_P1	4	B	B	1
ADV5_T3_P1_Q05	UOE	1	ADV5_T3_P1	5	A	A	1
ADV5_T3_P1_Q06	UOE	1	ADV5_T3_P1	6	C	C	1
ADV5_T3_P1_Q07	UOE	1	ADV5_T3_P1	7	D	D	1
ADV5_T3_P1_Q08	UOE	1	ADV5_T3_P1	8	D	D	1
ADV5_T3_P2_Q09	UOE	2	ADV5_T3_P2	9	BECAUSE	BECAUSE	1
ADV5_T3_P2_Q10	UOE	2	ADV5_T3_P2	10	MAKES	MAKES	1
ADV5_T3_P2_Q11	UOE	2	ADV5_T3_P2	11	OUT	OUT	1
ADV5_T3_P2_Q12	UOE	2	ADV5_T3_P2	12	WHAT	WHAT	1
ADV5_T3_P2_Q13	UOE	2	ADV5_T3_P2	13	WHETHER	WHETHER | IF	1
ADV5_T3_P2_Q14	UOE	2	ADV5_T3_P2	14	ENOUGH	ENOUGH	1
ADV5_T3_P2_Q15	UOE	2	ADV5_T3_P2	15	AS	AS	1
ADV5_T3_P2_Q16	UOE	2	ADV5_T3_P2	16	SPITE	SPITE	1
ADV5_T3_P3_Q17	UOE	3	ADV5_T3_P3	17	ENTHUSIASM	ENTHUSIASM	1
ADV5_T3_P3_Q18	UOE	3	ADV5_T3_P3	18	PROGRESSIVE	PROGRESSIVE	1
ADV5_T3_P3_Q19	UOE	3	ADV5_T3_P3	19	OUTLOOK	OUTLOOK	1
ADV5_T3_P3_Q20	UOE	3	ADV5_T3_P3	20	RESTRICTIONS	RESTRICTIONS | RESTRICTION	1
ADV5_T3_P3_Q21	UOE	3	ADV5_T3_P3	21	ENABLES	ENABLES	1
ADV5_T3_P3_Q22	UOE	3	ADV5_T3_P3	22	RESPONSE	RESPONSE	1
ADV5_T3_P3_Q23	UOE	3	ADV5_T3_P3	23	HESITANT	HESITANT	1
ADV5_T3_P3_Q24	UOE	3	ADV5_T3_P3	24	MASSIVELY	MASSIVELY	1
ADV5_T3_P4_Q25	UOE	4	ADV5_T3_P4	25	ONLY DID TOM PLAY WITH	ONLY DID TOM PLAY WITH	2
ADV5_T3_P4_Q26	UOE	4	ADV5_T3_P4	26	HAVING BEEN SHOWN HOW	HAVING BEEN SHOWN HOW | BEING SHOWN HOW	2
ADV5_T3_P4_Q27	UOE	4	ADV5_T3_P4	27	A GOOD DEAL OF OPPOSITION TO	A GOOD DEAL OF OPPOSITION TO	2
ADV5_T3_P4_Q28	UOE	4	ADV5_T3_P4	28	ON CONDITION THAT HE BE	ON CONDITION THAT HE BE | ON THE CONDITION THAT HE BE | ON CONDITION THAT HE WAS | ON CONDITION THAT HE WOULD BE	2
ADV5_T3_P4_Q29	UOE	4	ADV5_T3_P4	29	TO BE ABOUT TO	TO BE ABOUT TO	2
ADV5_T3_P4_Q30	UOE	4	ADV5_T3_P4	30	TO TAKE IT FOR GRANTED	TO TAKE IT FOR GRANTED	2
ADV5_T3_P5_Q31	READING	5	ADV5_T3_P5	31	B	B	2
ADV5_T3_P5_Q32	READING	5	ADV5_T3_P5	32	B	B	2
ADV5_T3_P5_Q33	READING	5	ADV5_T3_P5	33	C	C	2
ADV5_T3_P5_Q34	READING	5	ADV5_T3_P5	34	D	D	2
ADV5_T3_P5_Q35	READING	5	ADV5_T3_P5	35	C	C	2
ADV5_T3_P5_Q36	READING	5	ADV5_T3_P5	36	B	B	2
ADV5_T3_P6_Q37	READING	6	ADV5_T3_P6	37	A	A	2
ADV5_T3_P6_Q38	READING	6	ADV5_T3_P6	38	B	B	2
ADV5_T3_P6_Q39	READING	6	ADV5_T3_P6	39	D	D	2
ADV5_T3_P6_Q40	READING	6	ADV5_T3_P6	40	B	B	2
ADV5_T3_P7_Q41	READING	7	ADV5_T3_P7	41	B	B	2
ADV5_T3_P7_Q42	READING	7	ADV5_T3_P7	42	F	F	2
ADV5_T3_P7_Q43	READING	7	ADV5_T3_P7	43	E	E	2
ADV5_T3_P7_Q44	READING	7	ADV5_T3_P7	44	A	A	2
ADV5_T3_P7_Q45	READING	7	ADV5_T3_P7	45	D	D	2
ADV5_T3_P7_Q46	READING	7	ADV5_T3_P7	46	G	G	2
ADV5_T3_P8_Q47	READING	8	ADV5_T3_P8	47	B	B	1
ADV5_T3_P8_Q48	READING	8	ADV5_T3_P8	48	A	A	1
ADV5_T3_P8_Q49	READING	8	ADV5_T3_P8	49	C	C	1
ADV5_T3_P8_Q50	READING	8	ADV5_T3_P8	50	A	A	1
ADV5_T3_P8_Q51	READING	8	ADV5_T3_P8	51	D	D	1
ADV5_T3_P8_Q52	READING	8	ADV5_T3_P8	52	A	A	1
ADV5_T3_P8_Q53	READING	8	ADV5_T3_P8	53	D	D	1
ADV5_T3_P8_Q54	READING	8	ADV5_T3_P8	54	C	C	1
ADV5_T3_P8_Q55	READING	8	ADV5_T3_P8	55	B	B	1
ADV5_T3_P8_Q56	READING	8	ADV5_T3_P8	56	C	C	1
ADV5_T4_P1_Q01	UOE	1	ADV5_T4_P1	1	D	D	1
ADV5_T4_P1_Q02	UOE	1	ADV5_T4_P1	2	A	A	1
ADV5_T4_P1_Q03	UOE	1	ADV5_T4_P1	3	B	B	1
ADV5_T4_P1_Q04	UOE	1	ADV5_T4_P1	4	A	A	1
ADV5_T4_P1_Q05	UOE	1	ADV5_T4_P1	5	D	D	1
ADV5_T4_P1_Q06	UOE	1	ADV5_T4_P1	6	C	C	1
ADV5_T4_P1_Q07	UOE	1	ADV5_T4_P1	7	C	C	1
ADV5_T4_P1_Q08	UOE	1	ADV5_T4_P1	8	D	D	1
ADV5_T4_P2_Q09	UOE	2	ADV5_T4_P2	9	IN	IN	1
ADV5_T4_P2_Q10	UOE	2	ADV5_T4_P2	10	NO	NO	1
ADV5_T4_P2_Q11	UOE	2	ADV5_T4_P2	11	WHAT	WHAT	1
ADV5_T4_P2_Q12	UOE	2	ADV5_T4_P2	12	ONE	ONE	1
ADV5_T4_P2_Q13	UOE	2	ADV5_T4_P2	13	LIKE	LIKE	1
ADV5_T4_P2_Q14	UOE	2	ADV5_T4_P2	14	FROM	FROM	1
ADV5_T4_P2_Q15	UOE	2	ADV5_T4_P2	15	HOWEVER	HOWEVER	1
ADV5_T4_P2_Q16	UOE	2	ADV5_T4_P2	16	AWARE	AWARE	1
ADV5_T4_P3_Q17	UOE	3	ADV5_T4_P3	17	GATHERINGS	GATHERINGS	1
ADV5_T4_P3_Q18	UOE	3	ADV5_T4_P3	18	SOPHISTICATION	SOPHISTICATION	1
ADV5_T4_P3_Q19	UOE	3	ADV5_T4_P3	19	EXTENT	EXTENT	1
ADV5_T4_P3_Q20	UOE	3	ADV5_T4_P3	20	INCLUSION	INCLUSION	1
ADV5_T4_P3_Q21	UOE	3	ADV5_T4_P3	21	RELATIONSHIP	RELATIONSHIP	1
ADV5_T4_P3_Q22	UOE	3	ADV5_T4_P3	22	FRUITFUL	FRUITFUL	1
ADV5_T4_P3_Q23	UOE	3	ADV5_T4_P3	23	UNAVOIDABLE	UNAVOIDABLE	1
ADV5_T4_P3_Q24	UOE	3	ADV5_T4_P3	24	EXISTENCE	EXISTENCE	1
ADV5_T4_P4_Q25	UOE	4	ADV5_T4_P4	25	OUGHT TO HAVE BEEN	OUGHT TO HAVE BEEN	2
ADV5_T4_P4_Q26	UOE	4	ADV5_T4_P4	26	TOOK THE LIBERTY OF OPENING	TOOK THE LIBERTY OF OPENING	2
ADV5_T4_P4_Q27	UOE	4	ADV5_T4_P4	27	TO ACCEPT THE BLAME FOR	TO ACCEPT THE BLAME FOR | TO TAKE THE BLAME FOR	2
ADV5_T4_P4_Q28	UOE	4	ADV5_T4_P4	28	LONG AS THERE ARE NO	LONG AS THERE ARE NO | LONG AS THERE AREN’T ANY	2
ADV5_T4_P4_Q29	UOE	4	ADV5_T4_P4	29	A STOP TO THIS KIND	A STOP TO THIS KIND	2
ADV5_T4_P4_Q30	UOE	4	ADV5_T4_P4	30	WAS ALLEGED TO HAVE COMMITTED	WAS ALLEGED TO HAVE COMMITTED | IS ALLEGED TO HAVE COMMITTED	2
ADV5_T4_P5_Q31	READING	5	ADV5_T4_P5	31	B	B	2
ADV5_T4_P5_Q32	READING	5	ADV5_T4_P5	32	B	B	2
ADV5_T4_P5_Q33	READING	5	ADV5_T4_P5	33	A	A	2
ADV5_T4_P5_Q34	READING	5	ADV5_T4_P5	34	D	D	2
ADV5_T4_P5_Q35	READING	5	ADV5_T4_P5	35	C	C	2
ADV5_T4_P5_Q36	READING	5	ADV5_T4_P5	36	D	D	2
ADV5_T4_P6_Q37	READING	6	ADV5_T4_P6	37	C	C	2
ADV5_T4_P6_Q38	READING	6	ADV5_T4_P6	38	C	C	2
ADV5_T4_P6_Q39	READING	6	ADV5_T4_P6	39	B	B	2
ADV5_T4_P6_Q40	READING	6	ADV5_T4_P6	40	A	A	2
ADV5_T4_P7_Q41	READING	7	ADV5_T4_P7	41	E	E	2
ADV5_T4_P7_Q42	READING	7	ADV5_T4_P7	42	B	B	2
ADV5_T4_P7_Q43	READING	7	ADV5_T4_P7	43	G	G	2
ADV5_T4_P7_Q44	READING	7	ADV5_T4_P7	44	D	D	2
ADV5_T4_P7_Q45	READING	7	ADV5_T4_P7	45	A	A	2
ADV5_T4_P7_Q46	READING	7	ADV5_T4_P7	46	F	F	2
ADV5_T4_P8_Q47	READING	8	ADV5_T4_P8	47	D	D	1
ADV5_T4_P8_Q48	READING	8	ADV5_T4_P8	48	C	C	1
ADV5_T4_P8_Q49	READING	8	ADV5_T4_P8	49	D	D	1
ADV5_T4_P8_Q50	READING	8	ADV5_T4_P8	50	B	B	1
ADV5_T4_P8_Q51	READING	8	ADV5_T4_P8	51	C	C	1
ADV5_T4_P8_Q52	READING	8	ADV5_T4_P8	52	D	D	1
ADV5_T4_P8_Q53	READING	8	ADV5_T4_P8	53	A	A	1
ADV5_T4_P8_Q54	READING	8	ADV5_T4_P8	54	C	C	1
ADV5_T4_P8_Q55	READING	8	ADV5_T4_P8	55	A	A	1
ADV5_T4_P8_Q56	READING	8	ADV5_T4_P8	56	B	B	1
SAMPLE1_P1_Q01	UOE	1	SAMPLE1_P1	1	B	B	1
SAMPLE1_P1_Q02	UOE	1	SAMPLE1_P1	2	C	C	1
SAMPLE1_P1_Q03	UOE	1	SAMPLE1_P1	3	C	C	1
SAMPLE1_P1_Q04	UOE	1	SAMPLE1_P1	4	A	A	1
SAMPLE1_P1_Q05	UOE	1	SAMPLE1_P1	5	B	B	1
SAMPLE1_P1_Q06	UOE	1	SAMPLE1_P1	6	B	B	1
SAMPLE1_P1_Q07	UOE	1	SAMPLE1_P1	7	C	C	1
SAMPLE1_P1_Q08	UOE	1	SAMPLE1_P1	8	D	D	1
SAMPLE1_P2_Q09	UOE	2	SAMPLE1_P2	9	BECAUSE	BECAUSE	1
SAMPLE1_P2_Q10	UOE	2	SAMPLE1_P2	10	SUCH	SUCH	1
SAMPLE1_P2_Q11	UOE	2	SAMPLE1_P2	11	OTHER	OTHER	1
SAMPLE1_P2_Q12	UOE	2	SAMPLE1_P2	12	COULD	COULD | MAY | MIGHT	1
SAMPLE1_P2_Q13	UOE	2	SAMPLE1_P2	13	DESPITE	DESPITE	1
SAMPLE1_P2_Q14	UOE	2	SAMPLE1_P2	14	IF	IF | WHEN | WHENEVER	1
SAMPLE1_P2_Q15	UOE	2	SAMPLE1_P2	15	NOTHING	NOTHING | LITTLE	1
SAMPLE1_P2_Q16	UOE	2	SAMPLE1_P2	16	IN	IN	1
SAMPLE1_P3_Q17	UOE	3	SAMPLE1_P3	17	OVERCOME	OVERCOME	1
SAMPLE1_P3_Q18	UOE	3	SAMPLE1_P3	18	FITNESS	FITNESS	1
SAMPLE1_P3_Q19	UOE	3	SAMPLE1_P3	19	ENDURANCE	ENDURANCE	1
SAMPLE1_P3_Q20	UOE	3	SAMPLE1_P3	20	BENEFICIAL	BENEFICIAL	1
SAMPLE1_P3_Q21	UOE	3	SAMPLE1_P3	21	INABILITY	INABILITY	1
SAMPLE1_P3_Q22	UOE	3	SAMPLE1_P3	22	STRENGTH	STRENGTH	1
SAMPLE1_P3_Q23	UOE	3	SAMPLE1_P3	23	TYPICALLY	TYPICALLY	1
SAMPLE1_P3_Q24	UOE	3	SAMPLE1_P3	24	SEVERITY	SEVERITY	1
SAMPLE1_P4_Q25	UOE	4	SAMPLE1_P4	25	DOES NOT EARN NEARLY AS	DOES NOT EARN NEARLY AS | DOESN’T EARN NEARLY AS | DOES NOT MAKE NEARLY AS | DOESN’T MAKE NEARLY AS	2
SAMPLE1_P4_Q26	UOE	4	SAMPLE1_P4	26	BEING PULLED DOWN AND BEING REPLACED	BEING PULLED DOWN AND BEING REPLACED | BEING PULLED DOWN AND REPLACED | BEING PULLED DOWN TO BE REPLACED | TO BE PULLED DOWN AND REPLACED	2
SAMPLE1_P4_Q27	UOE	4	SAMPLE1_P4	27	THE HIGHEST IT HAS EVER	THE HIGHEST IT HAS EVER | THE HIGHEST IT’S EVER | THE HIGHEST THAT IT HAS EVER | THE HIGHEST WHICH IT HAS EVER	2
SAMPLE1_P4_Q28	UOE	4	SAMPLE1_P4	28	DISAPPOINTING IN COMPARISON WITH	DISAPPOINTING IN COMPARISON WITH | DISAPPOINTING IN COMPARISON TO | A DISAPPOINTMENT IN COMPARISON WITH | A DISAPPOINTMENT IN COMPARISON TO	2
SAMPLE1_P4_Q29	UOE	4	SAMPLE1_P4	29	IN SPITE OF A LACK	IN SPITE OF A LACK	2
SAMPLE1_P4_Q30	UOE	4	SAMPLE1_P4	30	WARNING ABOUT THE DANGERS OF	WARNING ABOUT THE DANGERS OF | WARNING REGARDING THE DANGERS OF | WARNING CONCERNING THE DANGERS OF | WARNING ABOUT THE DANGERS WHEN CYCLING	2
SAMPLE1_P5_Q31	READING	5	SAMPLE1_P5	31	C	C	2
SAMPLE1_P5_Q32	READING	5	SAMPLE1_P5	32	A	A	2
SAMPLE1_P5_Q33	READING	5	SAMPLE1_P5	33	C	C	2
SAMPLE1_P5_Q34	READING	5	SAMPLE1_P5	34	D	D	2
SAMPLE1_P5_Q35	READING	5	SAMPLE1_P5	35	D	D	2
SAMPLE1_P5_Q36	READING	5	SAMPLE1_P5	36	C	C	2
SAMPLE1_P6_Q37	READING	6	SAMPLE1_P6	37	B	B	2
SAMPLE1_P6_Q38	READING	6	SAMPLE1_P6	38	C	C	2
SAMPLE1_P6_Q39	READING	6	SAMPLE1_P6	39	A	A	2
SAMPLE1_P6_Q40	READING	6	SAMPLE1_P6	40	B	B	2
SAMPLE1_P7_Q41	READING	7	SAMPLE1_P7	41	G	G	2
SAMPLE1_P7_Q42	READING	7	SAMPLE1_P7	42	D	D	2
SAMPLE1_P7_Q43	READING	7	SAMPLE1_P7	43	A	A	2
SAMPLE1_P7_Q44	READING	7	SAMPLE1_P7	44	F	F	2
SAMPLE1_P7_Q45	READING	7	SAMPLE1_P7	45	C	C	2
SAMPLE1_P7_Q46	READING	7	SAMPLE1_P7	46	E	E	2
SAMPLE1_P8_Q47	READING	8	SAMPLE1_P8	47	D	D	1
SAMPLE1_P8_Q48	READING	8	SAMPLE1_P8	48	E	E	1
SAMPLE1_P8_Q49	READING	8	SAMPLE1_P8	49	C	C	1
SAMPLE1_P8_Q50	READING	8	SAMPLE1_P8	50	A	A	1
SAMPLE1_P8_Q51	READING	8	SAMPLE1_P8	51	D	D	1
SAMPLE1_P8_Q52	READING	8	SAMPLE1_P8	52	B	B	1
SAMPLE1_P8_Q53	READING	8	SAMPLE1_P8	53	C	C	1
SAMPLE1_P8_Q54	READING	8	SAMPLE1_P8	54	A	A	1
SAMPLE1_P8_Q55	READING	8	SAMPLE1_P8	55	B	B	1
SAMPLE1_P8_Q56	READING	8	SAMPLE1_P8	56	E	E	1
SAMPLE2_P1_Q01	UOE	1	SAMPLE2_P1	1	D	D	1
SAMPLE2_P1_Q02	UOE	1	SAMPLE2_P1	2	D	D	1
SAMPLE2_P1_Q03	UOE	1	SAMPLE2_P1	3	B	B	1
SAMPLE2_P1_Q04	UOE	1	SAMPLE2_P1	4	A	A	1
SAMPLE2_P1_Q05	UOE	1	SAMPLE2_P1	5	A	A	1
SAMPLE2_P1_Q06	UOE	1	SAMPLE2_P1	6	C	C	1
SAMPLE2_P1_Q07	UOE	1	SAMPLE2_P1	7	B	B	1
SAMPLE2_P1_Q08	UOE	1	SAMPLE2_P1	8	C	C	1
SAMPLE2_P2_Q09	UOE	2	SAMPLE2_P2	9	SUCH	SUCH	1
